Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,2961314299,PA,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,2,307,1,99,,WI,Y
VIA CHRISTI CLINIC PA,2961314497,KS,A36517,"Via Christi Health Alliance in Accountable Care, Inc.",,,Y,,,,,,,,,,
NASSAU HEALTH CARE CORPORATION,2961315221,NY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,38,23814,1,100,,REG,Y
REGIONAL WOMENS HEALTH GROUP LLC,2961316328,NJ,A69939,"Meridian Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"CARE STATION MEDICAL GROUP, PA",2961316724,NJ,A51279,"Optimus Healthcare Partners, LLC",,,Y,,,,,,,,,,
DYNAMIC PHYSICAL THERAPY SERVICES PC,2961390026,NY,A69881,New York State Elite (NYSE) Accountable Care Organization (ACO) Inc,,,Y,,,,,,,,,,
MCLA PSYCHIATRIC MEDICAL GROUP A PROFESSIONAL CORPORATION,2961390281,CA,A45848,ApolloMed Accountable Care Organization Inc.,,,Y,,,,,,,,,,
"SOUTHERN WESTCHESTER DIABETES, PC",2961391651,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
LAKSHMI PT CONSULTANTS PC,2961392584,NY,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,96,252,,,,REG,N
LAKSHMI PT CONSULTANTS PC,2961392584,NY,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,100,28,,,,REG,N
LAKSHMI PT CONSULTANTS PC,2961392584,NY,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,96,28,,,,REG,N
LAKSHMI PT CONSULTANTS PC,2961392584,NY,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,98,261,,,,REG,N
TRI-COUNTY HOSPITAL INC.,2961395272,MN,A90925,"Central Minnesota ACO, LLC",,,Y,,,,,,,,,,
INDEPENDENT HOSPITALISTS PLLC,2961395967,AZ,A91115,"John C. Lincoln Accountable Care Organization, LLC",,,Y,,,,,,,,,,
NAVJEET K GANDHOK MD PLLC,2961501770,AZ,P029,Banner Health Network,,,Y,,,,,,,,,,
"UROLOGY CENTER, PC",2961396833,NE,,,,,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,91,838,4,100,,REG,Y
"CENTRAL MISSISSIPPI HEALTH SERVICES, INC.",2961398029,MS,A08181,"Accountable Care Coalition of Mississippi, LLC.",,,Y,,,,,,,,,,
PENINSULA FAMILY MEDICAL CENTER,2961399266,WA,A78337,Rainier Health Network,,,Y,,,,,,,,,,
"MICHIGAN MEDICAL ASSOCIATES, P.C.",2961400759,MI,A23779,SEMAC,,,Y,,,,,,,,,,
BUKHMAN MD PC,2961402946,NY,A00755,Balance ACO,,,Y,,,,,,,,,,
ASSOCIATES IN GASTROENTEROLOGY SC,2961408778,WI,NG444,ThedaCare ACO LLC,,,Y,,,,,,,,,,
DR MUBARAK KHAWAJA PA,2961409297,TX,A65526,Memorial Hermann Accountable Care Organization,,,Y,,,,,,,,,,
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,589,,,,REG,N
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,100,963,,,,REG,N
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,100,232,,,,REG,N
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second Generation Cephalosporin,N,100,62,,,,REG,N
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,933,5,100,,REG,Y
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,62,,,,REG,N
TREASURE COAST ORTHO ASSOCIATES PA,2961415401,FL,,,,,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,62,,,,REG,N
SHORE MEDICINE LLC,2961419627,NJ,A55446,NJ Physicians ACO LLC,,,Y,,,,,,,,,,
CARDIOLOGY ASSOCIATES OF GREATER LOWELL INC,2961420484,MA,A35510,"NEQCA Accountable Care, Inc.",,,Y,,,,,,,,,,
WESTON PAXXON PT OT and SLP PLLC,2961423611,NY,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,40,,,,REG,N
SHANE EDWARD KELLER MD PA,2961426549,TX,A54437,Integrated ACO LLC,,,Y,,,,,,,,,,
BRYAN K DENNETT MD PA,2961430962,KS,A17196,"Aledade Kansas ACO, LLC",,,Y,,,,,,,,,,
MANSFIELD FAMILY PRACTICE LLC,2961433594,CT,A64801,"HARTFORD HEALTHCARE ACCOUNTABLE CARE ORGANIZATION, INC.",,,Y,,,,,,,,,,
GAREY ORTHOPEDIC MEDICAL GROUP,2961438643,CA,NG450,"Prospect ACO CA, LLC",,,Y,,,,,,,,,,
NORTH LINCOLN FAMILY MEDICAL CENTER PC,2961438890,NE,A65270,Midwest Health Coalition ACO,,,Y,,,,,,,,,,
RUTGERS HEALTH-RWJ RHEUMATOLOGY,2961441688,NJ,A18812,RWJ Partners LLC,,,Y,,,,,,,,,,
OAKHURST MEDICAL CENTERS INC,2961443643,GA,A86799,"Accountable Care Coalition of Georgia, LLC.",,,Y,,,,,,,,,,
"LEDERHAUS, DISNEY AND RODRIGUEZ",2961445267,CA,NG450,"Prospect ACO CA, LLC",,,Y,,,,,,,,,,
"NASHVILLE SKIN AND CANCER, PLC",2961446026,TN,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,89,244,,,,REG,N
"NASHVILLE SKIN AND CANCER, PLC",2961446026,TN,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,217,,,,REG,N
"NASHVILLE SKIN AND CANCER, PLC",2961446026,TN,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,5080,4,100,,REG,Y
"NASHVILLE SKIN AND CANCER, PLC",2961446026,TN,,,,,Y,PQRS_GRP_337_1,Tuberculosis Prevention for Psoriasis and Psoriatic Arthritis Patients on a Biological Immune Response Modifier,N,95,21,,,,REG,N
VILMED INC,2961449970,FL,A67373,"Palm Beach Accountable Care Organization, LLC",,,Y,,,,,,,,,,
SKIN CANCER TREATMENT CENTER,2961451125,FL,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,196,5,100,,REG,Y
SKIN CANCER TREATMENT CENTER,2961451125,FL,,,,,Y,PQRS_GRP_358_1,Patient-Centered Surgical Risk Assessment and Communication,N,100,121,,,,REG,N
ROSE RADIOLOGY CENTERS INC,2961451315,FL,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,98,235,,,,REG,N
ROSE RADIOLOGY CENTERS INC,2961451315,FL,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,1,14395,,,,REG,N
CRESSA PERISH MD SC,3375548159,IL,A60743,"Ingalls Care Network, LLC",,,Y,,,,,,,,,,
ROSE RADIOLOGY CENTERS INC,2961451315,FL,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,88,157,,,,REG,N
ROSE RADIOLOGY CENTERS INC,2961451315,FL,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,98,1038,,,,REG,N
ROSE RADIOLOGY CENTERS INC,2961451315,FL,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,99,14394,,,,REG,N
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305,OH,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,257,5,100,,REG,Y
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305,OH,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,87,222,4,100,,REG,Y
NORTHEAST OHIO VASCULAR ASSOCIATES INC,2961452305,OH,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,50,,,,REG,N
DERMATOLOGY ASSOCIATES OF NORTHERN VIRGINIA,2961453378,VA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,310,4,100,,REG,Y
DERMATOLOGY ASSOCIATES OF NORTHERN VIRGINIA,2961453378,VA,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,30,,,,REG,N
JUNIPER HEALTH INC,2961453618,KY,A26254,"Central US ACO, LLC",,,Y,,,,,,,,,,
"CENTRE DIAGNOSTIC IMAGING, PC",2961455183,PA,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,80,489,,,,REG,N
"CENTRE DIAGNOSTIC IMAGING, PC",2961455183,PA,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,99,73,,,,REG,N
"CENTRE DIAGNOSTIC IMAGING, PC",2961455183,PA,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,100,490,,,,REG,N
NORTHERN HEART and VASCULAR INSTITUTE INC MEDICAL ASSOCIATES,2961455449,CA,A54062,Prime Healthcare ACO,,,Y,,,,,,,,,,
PERSONAL PHYSICIAN CARE P A,2961456132,FL,A26898,"Accountable Care Options, LLC",,,Y,,,,,,,,,,
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,2281,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,85,245,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,93,1368,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second Generation Cephalosporin,N,100,44,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,2281,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,44,,,,REG,N
JOLIET RADIOLOGICAL SERVICE CORP,2961460654,IL,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,99,149,,,,REG,N
"SOUTHERN OKLAHOMA UROLOGY, INC",2961464730,OK,A66885,"Access Care Oklahoma, LLC",,,Y,,,,,,,,,,
HURON VALLEY RADIOLOGY PC,2961466859,MI,A55185,POM ACO,,,Y,,,,,,,,,,
MESILLA VALLEY ANESTHESIOLOGY PC,2961467253,NM,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,64,,,,REG,N
"COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION, INC.",2961467386,VT,A68137,"Community Health Accountable Care, LLC",,,Y,,,,,,,,,,
CAROLINA NEPHROLOGY PA,2961467733,SC,A95812,"MyHealth First Network, LLC",,,Y,,,,,,,,,,
CLINIC FOR CARDIOVASCULAR CARE,2961468897,TX,A44499,Baylor St. Luke's Health Network ACO,,,Y,,,,,,,,,,
SOUTH SHORE NEPHROLOGY PC,2961469838,MA,A35510,"NEQCA Accountable Care, Inc.",,,Y,,,,,,,,,,
NEWTON WELLESLEY PRIMARY CARE P C,2961471255,MA,P037,"Partners Community Healthcare, Inc.",,,Y,,,,,,,,,,
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,74,104,4,87,,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,74,43,4,93,,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,5,20,1,84,,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,,6,,80,1,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,16,,,1,WI,N
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,55,80,3,93,,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,99,98,,,,WI,N
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,70,43,4,93,,WI,Y
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,2,,,1,WI,N
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,50,32,,,,WI,N
HEALTHSOURCE SAGINAW INC,2961475876,MI,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,96,90,4,99,,WI,Y
"LOWER MERION FAMILY MEDICINE, P.C.",2961477328,PA,A74161,Delaware Valley ACO,,,Y,,,,,,,,,,
CHOICE PHYSICAL THERAPY LLC,2961479464,VT,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,349,,,,REG,N
CHOICE PHYSICAL THERAPY LLC,2961479464,VT,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,87,30,,,,REG,N
CHOICE PHYSICAL THERAPY LLC,2961479464,VT,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,83,30,,,,REG,N
CHOICE PHYSICAL THERAPY LLC,2961479464,VT,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,349,,,,REG,N
"RHEUMATIC DISEASE ASSOCIATES,LTD",2961485602,PA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,95,4133,4,100,,REG,Y
"RHEUMATIC DISEASE ASSOCIATES,LTD",2961485602,PA,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,6,3446,4,0,,REG,Y
"RHEUMATIC DISEASE ASSOCIATES,LTD",2961485602,PA,,,,,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,61,2474,,,,REG,N
"RHEUMATIC DISEASE ASSOCIATES,LTD",2961485602,PA,,,,,Y,PQRS_GRP_46_3,Medication Reconciliation Post-Discharge,N,91,86,,,,REG,N
"RHEUMATIC DISEASE ASSOCIATES,LTD",2961485602,PA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,52,3661,3,100,,REG,Y
HEALTHTEXAS PROVIDER NETWORK LLP,2961486089,TX,A65633,Baylor Scott & White Quality Alliance,,,Y,,,,,,,,,,
SOUTH ALAMO MEDICAL GROUP,2961486261,TX,A62480,Baptist Integrated Physician Partners,,,Y,,,,,,,,,,
"JESSIE TRICE COMMUNITY HEALTH CENTER, INC.",2961486733,FL,A02094,"Health Choice Care, LLC",,,Y,,,,,,,,,,
ADVANCED TRAINING AND REHAB LLC,2961487475,MO,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,717,,,,REG,N
ADVANCED TRAINING AND REHAB LLC,2961487475,MO,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,98,92,,,,REG,N
ADVANCED TRAINING AND REHAB LLC,2961487475,MO,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,88,88,,,,REG,N
ADVANCED TRAINING AND REHAB LLC,2961487475,MO,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,721,,,,REG,N
LUBBOCK SURGICAL ASSOCIATES LLP,2961490131,TX,A07425,"Covenant ACO, Inc.",,,Y,,,,,,,,,,
AUGUSTA HEALTH CARE FOR WOMEN PLC,2961491063,VA,A03202,"Augusta Care Partners, LLC",,,Y,,,,,,,,,,
JEFFREY S GITT DO PC,2961491584,AZ,A91115,"John C. Lincoln Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"BEVERLY ANESTHESIA ASSOCIATES, INC.",2961491667,MA,A21778,Lahey Clinical Performance ACO,,,Y,,,,,,,,,,
RIVERSIDE MEDICAL CLINIC INC,2961492327,CA,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
INTERNAL MEDICINE SPECIALTIES INC,2961492681,OH,A58588,"Mercy Health Select, LLC",,,Y,,,,,,,,,,
STEPHEN J VEIT MD PC,2961494265,IA,A84144,"Heartland Physicians ACO, Inc.",,,Y,,,,,,,,,,
"CHRIS L. STURCH, M.D., INC.",2961494794,OK,A07527,"Premier Patient Healthcare, LLC",,,Y,,,,,,,,,,
"ST LOUIS MEDICAL CLINIC, P.C.",2961496765,MO,A23513,"SLPA ACO, LLC",,,Y,,,,,,,,,,
"KENNETT HMA PHYSICIAN MANAGEMENT, LLC",2961503149,MO,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,84,954,3,100,,REG,Y
"KENNETT HMA PHYSICIAN MANAGEMENT, LLC",2961503149,MO,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,1,594,4,0,,REG,Y
"KENNETT HMA PHYSICIAN MANAGEMENT, LLC",2961503149,MO,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,85,139,3,100,,REG,Y
DANVILLE PATIENT CARE INC,2961505813,VA,A78634,"Carolinas ACO, LLC",,,Y,,,,,,,,,,
"EAR,NOSEandTHROAT CARE OF WNY PC",2961509799,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
HCT PATHOLOGY SERVICES LLC,2961509856,MD,,,,,Y,PQRS_GRP_397_1,Melanoma Reporting,N,100,94,,,,REG,N
LAKE COUNTY MEDICAL GROUP SC,2961531959,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
INOVA RESTON MRI CENTER LLC,2961540042,VA,A72677,Signature Partners,,,Y,,,,,,,,,,
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,TX,,,,,Y,PQRS_GRP_116_1,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,N,33,63,,,,REG,N
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,TX,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,80,169659,3,100,,REG,Y
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,TX,,,,,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use),Y,59,609,,,,REG,N
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,TX,,,,,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC - IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,38,168,,,,REG,N
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,TX,,,,,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy - Avoidance of Inappropriate Use,N,67,63,,,,REG,N
MOHAMMED J SAYED MD PLLC,2961545850,KY,A93592,"Kentucky Physicians for Accountable Care, LLC",,,Y,,,,,,,,,,
"HEMPSTEAD MAIN MEDICAL, PC",2961551254,NY,A69881,New York State Elite (NYSE) Accountable Care Organization (ACO) Inc,,,Y,,,,,,,,,,
"PACIFIC VEIN CARE, LLC",2961558101,IL,A92234,CHWN ACO,,,Y,,,,,,,,,,
MIDTOWN FAMILY MEDICINE PC,2961558622,MO,A05696,"KCMPA-ACO, LLC",,,Y,,,,,,,,,,
JOSEF GELDWERT DPM PC,2961564968,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
CLAREMONT EYE ASSOCIATES MEDICAL GROUP,2961568464,CA,NG450,"Prospect ACO CA, LLC",,,Y,,,,,,,,,,
"WILLIAM E. COBB, M.D., P.C.",2961584263,MA,A35510,"NEQCA Accountable Care, Inc.",,,Y,,,,,,,,,,
SPRING GARDEN FAMILY PRACTICE PC,2961588314,PA,A11353,WellSpan Population Health Services,,,Y,,,,,,,,,,
QUALCARE MEDICAL GROUP INC,2961590435,FL,NG443,"Baroma Accountable Care, LLC.",,,Y,,,,,,,,,,
MICHIGAN PERINATAL ASSOCIATES PC,2961597752,MI,A55129,"Oakwood Accountable Care Organization, LLC",,,Y,,,,,,,,,,
LITTLE CLINIC OF VA LLC,2961620596,VA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,6,516,1,100,,REG,Y
LITTLE CLINIC OF VA LLC,2961620596,VA,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,8,392,4,0,,REG,Y
LITTLE CLINIC OF VA LLC,2961620596,VA,,,,,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,6,296,1,100,,REG,Y
"HEALTH CLINIC OF MOSS BLUFF, LLC",2961633714,LA,A47940,CHRISTUS Louisiana ACO,,,Y,,,,,,,,,,
SOUTHERN REGIONAL ANESTHESIOLOGY CONSULTANTS PLLC,2961633870,AR,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,17,4375,,,,REG,N
SOUTHERN REGIONAL ANESTHESIOLOGY CONSULTANTS PLLC,2961633870,AR,,,,,Y,PQRS_GRP_44_1,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N,51,481,,,,REG,N
SOUTHERN REGIONAL ANESTHESIOLOGY CONSULTANTS PLLC,2961633870,AR,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,95,186,,,,REG,N
PROPRIUS HEALTH MEDICAL GROUP PC,2961651617,CA,A70850,"ACO Health Partners, LLC",,,Y,,,,,,,,,,
NORTH MISSISSIPPI FACULTY PRACTICE,2961658950,MS,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,1350,4,100,,REG,Y
NORTH MISSISSIPPI FACULTY PRACTICE,2961658950,MS,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,87,189,4,100,,REG,Y
KNOLLS PLACE MEDICAL CLINIC LLC,2961661236,TN,A34178,Ascension Care Management Health Partners Tennessee,,,Y,,,,,,,,,,
"OSU PLASTIC SURGERY, LLC",2961677679,OH,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,95,684,4,100,,REG,Y
"OSU PLASTIC SURGERY, LLC",2961677679,OH,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,30,,,,REG,N
"OSU PLASTIC SURGERY, LLC",2961677679,OH,,,,,Y,PQRS_GRP_400_1,Hepatitis C: One-Time Screening for Hepatitis C Virus (HCV) for Patients at Risk,N,22,91,,,,REG,N
"OSU PLASTIC SURGERY, LLC",2961677679,OH,,,,,Y,PQRS_GRP_46_3,Medication Reconciliation Post-Discharge,N,100,366,,,,REG,N
"OSU PLASTIC SURGERY, LLC",2961677679,OH,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,79,460,4,100,,REG,Y
NORTH SHORE - LIJ MEDICAL GROUP AT SYOSSET PC,2961687504,NY,A22038,Northwell Health ACO,,,Y,,,,,,,,,,
KOMPREHENSIVE PRIMARY CARE SPORTS and MUSCULOSKELETAL MEDICINE S.C.,2961699335,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
UNIVERSITY OF UTAH SPECIALTY SERVICES,2961726831,UT,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,93,4457,4,100,,REG,Y
UNIVERSITY OF UTAH SPECIALTY SERVICES,2961726831,UT,,,,,Y,PQRS_GRP_400_1,Hepatitis C: One-Time Screening for Hepatitis C Virus (HCV) for Patients at Risk,N,28,4011,,,,REG,N
ADAIR COUNTY MEMORIAL HOSPITAL,3072403153,IA,A42388,Mercy ACO,,,Y,,,,,,,,,,
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,3072403393,NY,A86004,NewYork Quality Care,,,Y,,,,,,,,,,
"DAVITA MEDICAL FLORIDA, INC.",3072403476,FL,A71307,"DaVita Medical ACO California, LLC",,,Y,,,,,,,,,,
"NORTHEAST DERMATOLOGY ASSOCIATES, PC",3072403799,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,37,22854,,,,REG,N
"NORTHEAST DERMATOLOGY ASSOCIATES, PC",3072403799,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,24,1162,,,,REG,N
"NORTHEAST DERMATOLOGY ASSOCIATES, PC",3072403799,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,14,125,,,,REG,N
"NORTHEAST DERMATOLOGY ASSOCIATES, PC",3072403799,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,1160,,,,REG,N
